NODE_ID,LINK_ID,LANES,MAX_SPD,CURVATURE,SLOPE
-,3070021301,1,30,0,0
-,3120058700,2,90,84.052,-1.62
-,3070040505,2,50,0,0
-,3070015000,3,90,117.23,-1.483
-,3070037403,3,60,0,0
-,3060015602,2,80,,
-,3070016400,3,90,0,0
-,3070021301,1,30,0,0
-,3060015501,2,90,-0.636,-0.445
-,3070013900,3,90,,
-,3070020401,3,90,,
-,3070040604,2,50,23.046,-0.26
-,3110049700,2,90,-28.628,0.827
-,3070240202,3,80,99.308,0.205
-,3070261800,3,90,9.476,-1.287
-,3070372500,1,10,,
-,3070240201,3,80,-129.033,-0.512
-,3070248600,3,90,1.207,1.072
-,3070037600,3,50,31.606,-0.074
-,3070186200,3,50,,
-,3070040604,2,50,23.046,-0.26
-,3070198200,1,30,,
-,3070019300,3,90,-13.951,-1.318
-,3070017501,3,90,0,0
-,3120783000,2,90,115.016,-3.078
-,3070248600,3,90,1.207,1.072
-,3070563700,1,40,-404.484,2.967
-,3110049400,2,80,0,0
-,3070012900,3,90,0,0
-,3060235800,1,50,0,0
-,3070020302,3,90,,
-,3070019400,3,90,49.836,1.222
-,3070037410,3,60,0,0
-,3070225800,1,30,,
-,3070014900,3,90,-117.303,1.428
-,3070010301,2,90,18.202,-1.536
-,3070155000,2,60,,
-,3070563700,1,40,-404.484,2.967
-,3070238300,1,30,0,0
-,3070040604,2,50,23.046,-0.26
-,3070563800,2,40,140.395,-1.144
-,3060015601,2,90,-0.714,0.441
-,3070037500,3,50,-24.81,0.078
-,3070039602,3,50,51.2,-0.068
-,3070034102,3,60,0,0
-,3070043000,2,50,0,0
-,3060236600,2,90,-50.456,2.824
-,3060015501,2,90,-0.636,-0.445
-,3070015700,3,90,,
-,3070042900,2,50,0,0
-,3070024500,3,90,-196.047,-1.086
-,3070013900,3,90,,
-,3070020501,1,30,0,0
-,3060236100,1,40,0,0
-,3070003000,2,90,0.346,1.124
-,3110048600,2,90,-21.013,0.353
-,3070038003,3,50,0,0
-,3070014600,2,30,0,0
-,3060125000,2,90,1.948,-0.945
-,3070040505,2,50,0,0
-,3070008701,2,90,83.79,2.102
-,3070013800,3,90,-95.778,3.867
-,3050264600,2,90,16.006,-2.3
-,3110051700,1,90,-66.437,0.351
-,3070568401,2,80,-39.198,-0.288
-,3070040604,2,50,23.046,-0.26
-,3070013200,3,70,,
-,3060124800,2,90,-2.222,0.937
-,3070040604,2,50,23.046,-0.26
-,3070248600,3,90,1.207,1.072
-,3070041100,2,50,0,0
-,3070040604,2,50,23.046,-0.26
-,3070032002,3,60,0,0
-,3070038701,2,50,0,0
-,3070505200,1,10,,
-,3070248600,3,90,1.207,1.072
-,3060239700,2,80,133.384,-0.73
-,3070013400,3,90,0,0
-,3070013800,3,90,-95.778,3.867
-,3070013800,3,90,-95.778,3.867
-,3070037500,3,50,-24.81,0.078
-,3110047500,2,90,-40.902,3.002
-,3070043502,2,50,0,0
-,3070028505,2,80,0,0
-,3070024500,3,90,-196.047,-1.086
